endDate;heatDays;summerDays;tropicalNights;iceDays
1954-01-11;0;0;0;10
1955-01-11;null;null;null;null
1956-01-11;0;0;0;4
1957-01-11;0;0;0;1
1958-01-11;0;0;0;3
1959-01-11;0;0;0;6
1960-01-11;null;null;null;null
1961-01-11;null;null;null;null
1962-01-11;0;0;0;7
1963-01-11;0;0;0;0
1964-01-11;0;0;0;10
1965-01-11;0;0;0;6
1966-01-11;0;0;0;8
1967-01-11;0;0;0;8
1968-01-11;0;0;0;10
1969-01-11;0;0;0;10
1970-01-11;0;0;0;7
1971-01-11;0;0;0;10
1972-01-11;0;0;0;5
1973-01-11;0;0;0;4
1974-01-11;0;0;0;3
1975-01-11;0;0;0;0
1976-01-11;0;0;0;3
1977-01-11;0;0;0;4
1978-01-11;0;0;0;5
1979-01-11;0;0;0;8
1980-01-11;0;0;0;6
1981-01-11;0;0;0;6
1982-01-11;0;0;0;3
1983-01-11;0;0;0;7
1984-01-11;0;0;0;5
1985-01-11;0;0;0;10
1986-01-11;0;0;0;9
1987-01-11;0;0;0;7
1988-01-11;null;null;null;null
1989-01-11;0;0;0;6
1990-01-11;0;0;0;9
1991-01-11;0;0;0;3
1992-01-11;0;0;0;2
1993-01-11;0;0;0;9
1994-01-11;0;0;0;4
1995-01-11;0;0;0;8
1996-01-11;0;0;0;6
1997-01-11;0;0;0;4
1998-01-11;0;0;0;1
1999-01-11;0;0;0;5
2000-01-11;0;0;0;10
2001-01-11;0;0;0;1
2002-01-11;0;0;0;3
2003-01-11;0;0;0;5
2004-01-11;0;0;0;6
2005-01-11;0;0;0;0
2006-01-11;0;0;0;2
2007-01-11;0;0;0;0
2008-01-11;0;0;0;6
2009-01-11;0;0;0;10
2010-01-11;0;0;0;5
2011-01-11;0;0;0;6
2012-01-11;0;0;0;0
2013-01-11;0;0;0;1
2014-01-11;0;0;0;0
2015-01-11;0;0;0;5
2016-01-11;0;0;0;7
2017-01-11;0;0;0;4
2018-01-11;0;0;0;0
2019-01-11;0;0;0;0
2020-01-11;0;0;0;0
2021-01-11;0;0;0;3
2022-01-11;0;0;0;7
2023-01-11;0;0;0;1
2024-01-11;0;0;0;0
