endDate;heatDays;summerDays;tropicalNights;iceDays
1937-12-13;0;30;0;21
1938-12-13;null;null;null;null
1939-12-13;1;32;0;6
1940-12-13;0;17;0;58
1941-12-13;null;null;null;null
1942-12-13;null;null;null;null
1943-12-13;16;61;0;19
1944-12-13;10;50;0;13
1945-12-13;19;77;1;33
1946-12-13;19;68;0;25
1947-12-13;31;90;1;44
1948-12-13;8;56;0;12
1949-12-13;10;55;0;10
1950-12-13;17;69;5;24
1951-12-13;4;49;0;5
1952-12-13;15;57;0;21
1953-12-13;7;57;0;16
1954-12-13;9;57;0;42
1955-12-13;1;43;0;26
1956-12-13;3;53;0;39
1957-12-13;10;53;1;10
1958-12-13;7;54;0;11
1959-12-13;5;43;1;13
1960-12-13;4;37;0;17
1961-12-13;18;54;1;19
1962-12-13;11;58;0;17
1963-12-13;17;63;0;47
1964-12-13;11;61;0;30
1965-12-13;9;36;0;17
1966-12-13;6;40;0;20
1967-12-13;17;61;0;15
1968-12-13;14;47;0;20
1969-12-13;11;61;0;31
1970-12-13;10;48;0;19
1971-12-13;22;63;1;26
1972-12-13;14;46;0;19
1973-12-13;14;66;0;13
1974-12-13;14;48;1;0
1975-12-13;2;67;0;4
1976-12-13;10;54;1;9
1977-12-13;8;60;1;12
1978-12-13;1;46;0;17
1979-12-13;8;63;0;18
1980-12-13;4;36;0;29
1981-12-13;12;58;2;7
1982-12-13;null;null;null;null
1983-12-13;22;72;2;20
1984-12-13;9;37;0;8
1985-12-13;7;50;0;44
1986-12-13;12;66;0;32
1987-12-13;7;57;1;37
1988-12-13;15;56;0;8
1989-12-13;4;46;0;11
1990-12-13;12;53;0;15
1991-12-13;9;49;0;22
1992-12-13;28;64;2;3
1993-12-13;13;64;0;29
1994-12-13;32;78;0;10
1995-12-13;16;64;0;23
1996-12-13;4;48;0;44
1997-12-13;0;36;0;18
1998-12-13;20;64;1;16
1999-12-13;8;58;0;16
2000-12-13;24;75;0;10
2001-12-13;18;67;1;14
2002-12-13;16;72;1;16
2003-12-13;39;105;3;20
2004-12-13;13;58;0;18
2005-12-13;12;65;1;24
2006-12-13;21;61;3;25
2007-12-13;21;82;4;2
2008-12-13;8;67;1;2
2009-12-13;14;71;0;15
2010-12-13;19;57;3;30
2011-12-13;21;82;1;14
2012-12-13;33;88;4;19
2013-12-13;22;65;5;19
2014-12-13;11;56;0;5
2015-12-13;43;84;8;2
2016-12-13;20;85;0;10
2017-12-13;38;84;4;18
2018-12-13;34;109;4;11
2019-12-13;34;90;3;7
2020-12-13;18;77;0;4
2021-12-13;19;82;3;5
2022-12-13;29;84;3;0
