year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1946,10.541,879.0,10,37,0,65,22,14
1947,10.468,570.4,30,68,0,76,35,55
1948,10.654,935.4,0,32,0,53,9,7
1949,10.743,534.2,15,58,0,72,21,10
1950,10.937,715.5,9,55,0,61,14,7
1951,10.033,759.0,5,43,0,79,1,24
1952,10.16,705.3,17,49,0,74,19,43
1953,10.266,606.5,4,41,0,85,24,52
1954,9.237,926.3,2,29,0,78,26,31
1955,9.385,957.1,1,27,0,89,17,40
1956,8.698,893.3,1,26,0,75,29,27
1957,10.051,840.5,9,29,0,60,13,24
1958,10.032,873.0,3,46,0,80,19,39
1959,10.586,654.8,3,47,0,63,15,27
1960,9.816,854.3,1,23,0,53,13,26
1961,10.884,752.8,3,41,0,55,9,31
1962,9.387,678.8,7,44,0,72,16,32
1963,8.623,855.3,2,27,0,82,39,68
1964,10.018,825.8,10,50,0,66,26,35
1965,8.831,1055.4,4,22,0,76,20,59
1966,10.481,902.7,1,35,0,54,15,21
1967,10.433,785.1,10,53,0,60,13,14
1968,9.852,906.0,6,32,0,67,15,10
1969,9.841,773.5,4,44,0,70,17,53
1970,9.348,1066.4,2,41,0,68,20,73
1971,9.602,639.4,16,44,0,74,25,56
1972,9.353,553.6,4,31,0,62,9,15
1973,9.43,1030.7,2,44,0,80,11,52
1974,10.085,911.5,6,30,0,46,1,10
1975,10.364,946.4,4,44,0,56,1,14
1976,10.067,745.7,9,44,0,64,11,38
1977,10.379,807.9,2,26,0,50,3,33
1978,9.395,958.2,0,27,0,64,17,43
1979,9.971,832.3,2,40,0,58,14,40
1980,9.686,757.0,3,28,0,60,14,8
1981,10.413,848.0,2,39,0,64,20,38
1982,10.43,797.7,4,47,0,72,17,36
1983,11.207,695.3,13,54,0,54,15,33
1984,9.451,875.1,7,26,0,76,10,48
1985,9.631,729.1,6,47,1,76,27,50
1986,9.823,821.9,2,49,0,73,28,58
1990,14.235,209.9,1,19,0,1,0,0
1991,10.029,678.7,5,50,0,65,23,13
1992,10.692,661.5,16,50,0,67,14,21
1993,10.269,802.7,4,41,0,66,11,14
1994,11.45,878.0,19,54,0,44,9,7
1995,10.694,919.1,9,44,0,56,13,29
1996,9.279,633.6,2,33,0,88,20,15
1997,10.486,585.5,1,47,0,74,21,22
1998,11.108,704.7,15,50,0,60,8,16
1999,11.0,928.4,5,44,0,51,14,28
2000,11.407,818.5,8,59,0,49,4,9
2001,11.38,960.1,15,54,0,50,3,15
2002,11.294,936.3,11,50,0,55,10,1
2003,11.495,548.8,39,94,0,80,20,37
2004,10.77,759.3,4,52,0,62,10,26
2005,10.395,732.9,12,48,0,70,22,45
2006,10.454,758.9,23,56,0,75,22,38
2007,11.741,797.8,9,57,0,51,3,9
2008,11.164,726.0,12,54,0,66,2,3
2009,10.703,659.5,8,53,0,74,20,39
2010,9.895,763.4,13,44,0,80,26,48
2011,11.16,726.5,10,50,0,66,12,15
2012,10.895,709.2,12,55,0,60,16,23
2013,10.317,852.7,13,46,0,73,18,42
2014,11.541,743.0,7,40,0,62,0,0
2015,11.139,754.4,31,60,0,81,9,0
2016,11.228,1009.9,9,57,0,52,4,0
2017,11.193,754.6,18,65,0,65,18,0
2018,12.275,569.6,21,93,0,49,9,0
2019,11.386,881.4,19,57,0,68,9,0
2020,11.697,827.1,12,59,0,64,3,0
2021,10.537,1006.7,7,51,0,81,9,0
2022,12.201,710.6,20,79,0,68,0,0
2023,12.388,678.4,28,80,0,53,4,0
2024,12.518,1004.4,24,71,0,38,7,0
