endDate;heatDays;summerDays;tropicalNights;iceDays
1973-08-15;2;21;0;24
1974-08-15;2;14;0;4
1975-08-15;1;32;0;2
1976-08-15;1;20;0;26
1977-08-15;null;null;null;null
1978-08-15;0;4;0;23
1979-08-15;0;16;0;30
1980-08-15;0;7;0;28
1981-08-15;0;16;0;38
1982-08-15;0;16;0;33
1983-08-15;4;25;0;24
1984-08-15;1;10;0;28
1985-08-15;0;15;0;38
1986-08-15;0;23;0;42
1987-08-15;0;13;0;43
1988-08-15;2;16;0;22
1989-08-15;0;6;0;11
1990-08-15;0;15;0;10
1991-08-15;0;10;0;25
1992-08-15;7;21;0;18
1993-08-15;0;18;0;27
1994-08-15;1;37;0;16
1995-08-15;1;24;0;16
1996-08-15;0;15;0;46
1997-08-15;0;12;0;21
1998-08-15;2;27;0;16
1999-08-15;2;13;0;22
2000-08-15;1;24;0;26
2001-08-15;0;17;0;23
2002-08-15;3;23;1;18
2003-08-15;15;53;0;32
2004-08-15;0;25;0;26
2005-08-15;3;27;0;36
2006-08-15;3;36;0;34
2007-08-15;6;36;0;4
2008-08-15;3;31;0;8
2009-08-15;1;12;0;31
2010-08-15;6;27;0;51
2011-08-15;0;20;0;28
2012-08-15;4;32;0;26
2013-08-15;12;29;0;37
2014-08-15;4;21;0;4
2015-08-15;21;41;0;21
2016-08-15;4;25;0;10
2017-08-15;3;42;0;29
2018-08-15;7;38;0;29
2019-08-15;10;39;1;14
2020-08-15;2;23;0;3
2021-08-15;4;35;0;26
2022-08-15;5;34;0;13
