id,name,Bundesland,height,latitude,longitude
73,Aldersbach-Kriestorf,Bayern,340,48.6159,13.0506
142,Altomünster-Maisbrunn,Bayern,511,48.406,11.3117
150,Alzey,Rheinland-Pfalz,215,49.7273,8.1164
151,Amberg-Unterammersricht,Bayern,382,49.4691,11.8546
164,Angermünde,Brandenburg,54,53.0316,13.9908
183,Arkona,Mecklenburg-Vorpommern,42,54.6791,13.4344
198,Artern,Thüringen,164,51.3744,11.292
217,Attenkam,Bayern,670,47.8774,11.3643
232,Augsburg,Bayern,462,48.4253,10.9417
257,Baden-Baden-Geroldsau,Baden-Württemberg,240,48.727,8.2457
259,Müllheim,Baden-Württemberg,275,47.8064,7.6387
282,Bamberg,Bayern,240,49.8743,10.9206
298,Barth,Mecklenburg-Vorpommern,3,54.3405,12.7108
314,"Kubschütz, Kr. Bautzen",Sachsen,234,51.1604,14.5042
320,Heinersreuth-Vollhof,Bayern,350,49.9666,11.5198
330,Oberzent-Beerfelden,Hessen,455,49.5617,8.9673
377,"Bergzabern, Bad",Rheinland-Pfalz,210,49.107,7.9967
379,"Berka, Bad (Flugplatz)",Thüringen,304,50.9075,11.2665
403,Berlin-Dahlem (FU),Berlin,51,52.4537,13.3017
427,Berlin Brandenburg,Brandenburg,46,52.3807,13.5306
433,Berlin-Tempelhof,Berlin,48,52.4675,13.4021
445,Bernburg/Saale (Nord),Sachsen-Anhalt,85,51.8218,11.711
460,Berus,Saarland,362,49.2641,6.6868
535,Blankenrath,Rheinland-Pfalz,417,50.0372,7.3079
555,Bochum,Nordrhein-Westfalen,110,51.5026,7.2289
591,Boizenburg,Mecklenburg-Vorpommern,45,53.3911,10.6878
596,Boltenhagen,Mecklenburg-Vorpommern,15,54.0027,11.1908
656,Braunlage,Niedersachsen,607,51.7234,10.6021
691,Bremen,Bremen,4,53.0451,8.7981
701,Bremerhaven,Bremen,7,53.5332,8.5761
722,Brocken,Sachsen-Anhalt,1135,51.7986,10.6183
755,"Buchen, Kr. Neckar-Odenwald",Baden-Württemberg,340,49.5182,9.3213
817,Burgwald-Bottendorf,Hessen,293,51.0306,8.8146
853,Chemnitz,Sachsen,416,50.7913,12.872
867,Lautertal-Oberlauter,Bayern,344,50.3066,10.9679
880,Cottbus,Brandenburg,69,51.7759,14.3168
891,Cuxhaven,Niedersachsen,5,53.8713,8.706
896,Dachwig,Thüringen,170,51.0778,10.8619
953,Deuselbach,Rheinland-Pfalz,481,49.7619,7.0542
963,Diepholz,Niedersachsen,38,52.5881,8.3424
979,Dillenburg,Hessen,314,50.7364,8.2672
991,Dippoldiswalde-Reinberg,Sachsen,359,50.9116,13.7087
1001,Doberlug-Kirchhain,Brandenburg,97,51.6451,13.5747
1048,Dresden-Klotzsche,Sachsen,228,51.1278,13.7543
1050,Dresden-Hosterwitz,Sachsen,112,51.0221,13.847
1051,Dresden-Strehlen,Sachsen,119,51.0249,13.7751
1072,"Dürkheim, Bad",Rheinland-Pfalz,107,49.4719,8.1929
1078,Düsseldorf,Nordrhein-Westfalen,37,51.296,6.7686
1161,Eichstätt-Landershofen,Bayern,384,48.8777,11.2349
1197,Ellwangen-Rindelbach,Baden-Württemberg,463,48.9895,10.1312
1207,"Elster, Bad-Sohl",Sachsen,558,50.2705,12.2742
1270,Erfurt-Weimar,Thüringen,316,50.9829,10.9608
1279,Möhrendorf-Kleinseebach,Bayern,268,49.6497,11.0075
1297,Eschwege,Hessen,156,51.2041,10.0138
1300,Eslohe,Nordrhein-Westfalen,351,51.254,8.1565
1303,Essen-Bredeney,Nordrhein-Westfalen,150,51.4041,6.9677
1327,Weilerswist-Lommersum,Nordrhein-Westfalen,147,50.7119,6.7905
1346,Feldberg/Schwarzwald,Baden-Württemberg,1486,47.8748,8.0038
