endDate;heatDays;summerDays;tropicalNights;iceDays
1931-10-20;5;51;0;19
1932-10-20;14;67;0;27
1933-10-20;9;30;0;26
1934-10-20;2;43;0;23
1935-10-20;10;54;0;26
1936-10-20;4;44;0;3
1937-10-20;1;49;0;13
1938-10-20;4;46;0;15
1939-10-20;5;41;0;7
1940-10-20;0;29;0;40
1941-10-20;null;null;null;null
1942-10-20;null;null;null;null
1943-10-20;8;55;0;21
1944-10-20;8;50;0;5
1945-10-20;9;59;0;31
1946-10-20;8;51;0;18
1947-10-20;null;null;null;null
1948-10-20;0;0;0;0
1949-10-20;9;57;0;3
1950-10-20;23;84;0;23
1951-10-20;6;64;0;11
1952-10-20;19;58;0;24
1953-10-20;4;56;0;23
1954-10-20;0;48;0;33
1955-10-20;0;0;0;0
1956-10-20;2;46;0;28
1957-10-20;9;44;0;12
1958-10-20;8;57;0;17
1959-10-20;1;46;0;12
1960-10-20;2;33;0;21
1961-10-20;9;56;0;19
1962-10-20;7;46;0;15
1963-10-20;13;49;0;36
1964-10-20;3;55;0;33
1965-10-20;6;36;0;26
1966-10-20;6;45;0;19
1967-10-20;6;47;0;24
1968-10-20;5;30;1;19
1969-10-20;0;0;0;0
1970-10-20;7;51;0;16
1971-10-20;9;55;0;24
1972-10-20;null;null;null;null
1973-10-20;6;56;0;13
1974-10-20;7;46;0;7
1975-10-20;1;55;0;0
1976-10-20;6;47;0;13
1977-10-20;2;39;0;10
1978-10-20;0;34;0;20
1979-10-20;1;52;0;21
1980-10-20;4;31;0;19
1981-10-20;6;40;0;30
1982-10-20;0;0;0;0
1983-10-20;17;68;0;10
1984-10-20;9;38;0;18
1985-10-20;10;64;0;27
1986-10-20;12;67;0;32
1987-10-20;8;68;0;26
1988-10-20;18;59;0;3
1989-10-20;3;47;0;5
1990-10-20;4;59;0;8
1991-10-20;13;72;0;26
1992-10-20;30;85;1;4
1993-10-20;19;69;1;8
1994-10-20;22;75;0;7
1995-10-20;9;52;0;11
1996-10-20;6;46;0;26
1997-10-20;0;71;0;16
1998-10-20;19;62;0;2
1999-10-20;8;53;0;11
2000-10-20;16;69;0;19
2001-10-20;16;74;0;7
2002-10-20;12;62;0;8
2003-10-20;42;101;0;18
2004-10-20;12;61;0;11
2005-10-20;16;64;1;10
2006-10-20;34;67;0;19
2007-10-20;24;78;1;1
2008-10-20;16;79;0;1
2009-10-20;23;82;0;14
2010-10-20;22;68;3;23
2011-10-20;20;80;1;13
2012-10-20;29;82;1;17
2013-10-20;32;73;3;17
2014-10-20;13;55;0;1
2015-10-20;41;78;4;5
2016-10-20;14;75;1;6
2017-10-20;31;82;2;14
2018-10-20;23;99;0;6
2019-10-20;32;85;3;4
2020-10-20;16;73;1;0
2021-10-20;25;79;1;12
2022-10-20;33;97;1;8
