endDate;heatDays;summerDays;tropicalNights;iceDays
1954-06-18;0;0;0;39
1955-06-18;0;1;0;36
1956-06-18;0;2;0;42
1957-06-18;0;3;0;15
1958-06-18;0;6;0;38
1959-06-18;0;0;0;19
1960-06-18;0;1;0;22
1961-06-18;0;0;0;27
1962-06-18;0;1;0;30
1963-06-18;0;0;0;45
1964-06-18;0;4;0;32
1965-06-18;0;0;0;45
1966-06-18;0;3;0;23
1967-06-18;0;1;0;26
1968-06-18;0;0;0;29
1969-06-18;0;3;0;30
1970-06-18;0;1;0;45
1971-06-18;0;0;0;31
1972-06-18;0;0;0;21
1973-06-18;0;0;0;38
1974-06-18;0;0;0;3
1975-06-18;0;0;0;14
1976-06-18;0;0;0;21
1977-06-18;0;2;0;24
1978-06-18;0;0;0;39
1979-06-18;0;9;0;28
1980-06-18;0;0;0;0
1981-06-18;0;0;0;0
1982-06-18;0;0;0;0
1983-06-18;0;0;0;0
1984-06-18;0;0;0;29
1985-06-18;0;2;0;31
1986-06-18;0;4;0;35
1987-06-18;0;1;0;34
1988-06-18;0;0;0;15
1989-06-18;0;0;0;1
1990-06-18;0;0;0;8
1991-06-18;0;0;0;23
1992-06-18;0;0;0;17
1993-06-18;0;6;0;22
1994-06-18;0;3;0;15
1995-06-18;0;2;0;22
1996-06-18;0;12;0;22
1997-06-18;0;6;0;6
1998-06-18;0;7;0;17
1999-06-18;0;6;0;22
2000-06-18;0;9;0;25
2001-06-18;0;3;0;21
2002-06-18;0;7;0;19
2003-06-18;0;15;0;28
2004-06-18;0;4;0;31
2005-06-18;0;7;0;37
2006-06-18;0;4;0;42
2007-06-18;0;8;0;3
2008-06-18;0;5;0;8
2009-06-18;0;6;0;32
2010-06-18;1;8;0;43
2011-06-18;0;3;0;20
2012-06-18;0;8;0;31
2013-06-18;1;4;0;32
2014-06-18;2;8;0;7
2015-06-18;0;11;0;22
2016-06-18;0;3;0;11
2017-06-18;0;10;0;19
2018-06-18;0;7;0;25
2019-06-18;0;11;0;25
2020-06-18;0;2;0;6
2021-06-18;1;4;0;27
2022-06-18;0;9;0;11
2023-06-18;0;0;0;14
