endDate;heatDays;summerDays;tropicalNights;iceDays
1950-01-11;0;0;0;1
1951-01-11;0;0;0;2
1952-01-11;0;0;0;0
1953-01-11;0;0;0;9
1954-01-11;0;0;0;10
1955-01-11;0;0;0;10
1956-01-11;0;0;0;4
1957-01-11;0;0;0;1
1958-01-11;0;0;0;1
1959-01-11;0;0;0;3
1960-01-11;0;0;0;1
1961-01-11;0;0;0;1
1962-01-11;0;0;0;4
1963-01-11;0;0;0;2
1964-01-11;0;0;0;7
1965-01-11;0;0;0;3
1966-01-11;0;0;0;6
1967-01-11;0;0;0;8
1968-01-11;null;null;null;null
1969-01-11;0;0;0;6
1970-01-11;null;null;null;null
1971-01-11;0;0;0;8
1972-01-11;0;0;0;0
1973-01-11;0;0;0;5
1974-01-11;0;0;0;3
1975-01-11;0;0;0;0
1976-01-11;0;0;0;0
1977-01-11;0;0;0;2
1978-01-11;0;0;0;3
1979-01-11;0;0;0;6
1980-01-11;0;0;0;6
1981-01-11;0;0;0;5
1982-01-11;0;0;0;3
1983-01-11;0;0;0;0
1984-01-11;0;0;0;0
1985-01-11;0;0;0;10
1986-01-11;0;0;0;0
1987-01-11;0;0;0;0
1988-01-11;0;0;0;0
1989-01-11;0;0;0;0
1990-01-11;0;0;0;0
1991-01-11;0;0;0;0
1992-01-11;0;0;0;0
1993-01-11;0;0;0;0
1994-01-11;0;0;0;0
1995-01-11;0;0;0;0
1996-01-11;0;0;0;0
1997-01-11;0;0;0;0
1998-01-11;0;0;0;0
1999-01-11;0;0;0;0
2000-01-11;0;0;0;1
2001-01-11;0;0;0;1
2002-01-11;0;0;0;8
2003-01-11;0;0;0;5
2004-01-11;0;0;0;4
2005-01-11;0;0;0;0
2006-01-11;0;0;0;6
2007-01-11;0;0;0;0
2008-01-11;0;0;0;5
2009-01-11;0;0;0;9
2010-01-11;0;0;0;8
2011-01-11;0;0;0;6
2012-01-11;0;0;0;0
2013-01-11;0;0;0;0
2014-01-11;0;0;0;0
2015-01-11;0;0;0;0
2016-01-11;0;0;0;1
2017-01-11;0;0;0;7
2018-01-11;0;0;0;0
2019-01-11;0;0;0;3
2020-01-11;0;0;0;0
2021-01-11;0;0;0;3
2022-01-11;0;0;0;0
2023-01-11;0;0;0;0
2024-01-11;0;0;0;3
